update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
216,1769472,7346,41,2490.0,2406.1,3.4,8.0,2.17,0.6471,0.6,0.7143,0.0,0.6471,,213.8,4.59,7.35,0.9617,11.44,0.3945,2.62,0.0101,0.0836,0.7509,-0.0085,0.0404,-0.8318,43,random,,,,,,
217,1777664,7387,41,2501.5,2457.5,3.3,8.0,2.12,0.8571,0.7857,1.0,0.0,0.8571,,233.4,5.12,8.38,0.9468,10.96,0.3954,2.58,0.0119,0.0923,0.7556,-0.0091,0.0408,-0.8276,43,random,,,,,,
218,1785856,7437,50,2513.2,2321.1,3.5,8.0,2.3,0.8182,0.8,0.8571,0.0,0.8182,,167.3,3.86,5.86,0.9558,11.31,0.394,2.6,0.0084,0.0886,0.6615,-0.0053,0.0494,-0.8432,43,random,,,,,,
219,1794048,7487,50,2525.0,2232.3,3.7,8.0,2.42,0.7308,0.75,0.7,0.0,0.7308,,173.2,4.1,6.0,0.9172,11.3,0.3783,2.5,0.0105,0.082,0.6599,-0.0096,0.0513,-0.8244,43,random,,,,,,
220,1802240,7523,36,2537.0,2163.1,3.8,9.2,2.56,0.8095,0.75,0.8462,0.0,0.8095,,219.4,5.17,10.71,0.9682,12.38,0.3849,2.63,0.015,0.0956,0.7777,-0.0068,0.0352,-0.8547,43,random,1015,200,0.545,0.52,0.57,1.6
221,1810432,7569,46,2551.7,2163.9,3.8,8.1,2.55,0.6667,0.6,0.7143,0.0,0.6667,,173.9,4.3,8.21,0.9461,11.76,0.3839,2.58,0.0144,0.1039,0.7285,-0.0049,0.0417,-0.8577,44,random,,,,,,
222,1818624,7607,38,2563.6,2267.5,3.6,8.0,2.4,0.75,0.7,0.8,0.0,0.75,,236.5,5.55,10.05,0.9374,11.72,0.3809,2.55,0.0143,0.1018,0.7135,-0.0071,0.0425,-0.8434,44,random,,,,,,
223,1826816,7634,27,2575.1,2478.2,3.3,8.1,2.11,0.7143,0.6,1.0,0.0,0.7143,,219.9,5.33,3.64,0.9384,12.14,0.376,2.56,0.0115,0.097,0.7916,-0.0091,0.0247,-0.8267,44,random,,,,,,
224,1835008,7669,35,2586.5,2570.1,3.2,8.1,1.98,0.7857,0.6667,0.875,0.0,0.7857,,217.6,4.57,0.57,0.896,11.13,0.3719,2.45,0.0123,0.0817,0.7469,-0.009,0.0294,-0.8306,44,random,,,,,,
225,1843200,7702,33,2597.9,2565.0,3.2,8.2,1.98,0.7222,0.6667,0.8333,0.0,0.7222,,256.7,6.09,4.67,0.9267,12.09,0.3718,2.53,0.0087,0.0809,0.7736,-0.0075,0.0301,-0.8431,44,random,,,,,,
