update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
646,5309888,16967,28,255.3,2543.7,3.2,3.9,2.33,0.6471,0.7143,0.6,0.0,0.6471,,318.5,5.93,0.5473,16.62,0.1947,1.73,0.0085,0.065,0.8721,-0.006,0.0247,-0.5061,129,random
647,5318080,16998,31,262.4,2569.4,3.2,3.9,2.27,0.625,0.5385,0.7273,0.0,0.625,,271.4,5.84,0.5274,16.28,0.1891,1.69,0.0086,0.0677,0.8806,-0.007,0.0234,-0.4755,129,random
648,5326272,17025,27,269.3,2803.0,2.9,3.8,2.0,0.7368,0.7273,0.75,0.0,0.7368,,300.7,6.07,0.5554,16.55,0.1979,1.74,0.0075,0.0579,0.8957,-0.0053,0.0195,-0.4922,129,random
649,5334464,17044,19,275.8,3209.1,2.6,3.8,1.67,0.8333,0.8333,0.8333,0.0,0.8333,,286.0,5.89,0.5277,16.34,0.1889,1.69,0.0089,0.0627,0.9053,-0.0056,0.017,-0.4949,129,random
650,5342656,17064,20,282.2,3362.6,2.4,3.9,1.56,0.8333,0.8,0.8571,0.0,0.8333,,271.4,5.6,0.5525,17.27,0.194,1.74,0.0071,0.0569,0.9181,-0.0068,0.0166,-0.4788,129,random
651,5350848,17085,21,288.6,3275.7,2.5,3.8,1.64,0.6667,0.75,0.6,0.0,0.6667,,412.8,6.76,0.5355,16.89,0.1895,1.71,0.0086,0.0709,0.8686,-0.0037,0.0208,-0.4717,130,random
652,5359040,17108,23,295.1,3157.2,2.6,3.9,1.7,0.7273,0.5714,1.0,0.0,0.7273,,392.4,6.43,0.5565,16.92,0.1968,1.74,0.0089,0.0705,0.86,-0.0078,0.023,-0.5041,130,random
653,5367232,17132,24,301.6,3206.2,2.6,3.9,1.68,0.8182,0.7143,1.0,0.0,0.8182,,425.2,7.17,0.5684,17.47,0.1987,1.77,0.0086,0.074,0.9104,-0.007,0.0175,-0.5007,130,random
654,5375424,17155,23,308.1,3202.4,2.6,3.8,1.66,0.7692,0.5,0.8889,0.0,0.7692,,327.1,5.91,0.5614,16.47,0.2004,1.75,0.0066,0.061,0.898,-0.0065,0.0195,-0.4826,130,random
655,5383616,17178,23,314.6,3142.1,2.6,4.0,1.72,0.9091,0.8,1.0,0.0,0.9091,,365.5,6.48,0.5307,16.46,0.1895,1.7,0.0077,0.0613,0.9018,-0.0072,0.0192,-0.483,130,random
656,5391808,17207,29,321.3,3205.7,2.6,3.8,1.64,0.4615,0.4444,0.5,0.0,0.4615,,298.4,5.31,0.5194,15.67,0.1888,1.68,0.0104,0.0685,0.8408,-0.0055,0.0281,-0.4859,131,random
657,5400000,17231,24,327.8,3147.8,2.6,3.8,1.72,0.8333,1.0,0.8182,0.0,0.8333,,358.2,6.33,0.5012,16.32,0.1795,1.65,0.008,0.0565,0.9115,-0.0063,0.0165,-0.4673,131,random
658,5408192,17252,21,334.2,3244.9,2.5,3.8,1.65,0.5455,0.2,0.8333,0.0909,0.5455,,373.7,6.57,0.524,16.08,0.1887,1.69,0.0071,0.0607,0.8725,-0.0062,0.0212,-0.4911,131,random
659,5416384,17271,19,340.6,3300.6,2.5,4.0,1.62,1.0,1.0,1.0,0.0,1.0,,359.8,5.95,0.5534,16.79,0.1962,1.74,0.0071,0.057,0.9077,-0.0067,0.0178,-0.5092,131,random
660,5424576,17296,25,347.4,3012.6,2.7,3.9,1.83,0.9167,0.8333,1.0,0.0,0.9167,,295.2,5.48,0.5439,16.33,0.1947,1.72,0.0071,0.0617,0.8543,-0.0053,0.0276,-0.4984,131,random
661,5432768,17320,24,353.9,3184.4,2.6,3.9,1.68,0.9167,1.0,0.9,0.0,0.9167,,390.5,6.71,0.5408,17.28,0.1898,1.72,0.0077,0.062,0.8419,-0.0076,0.0235,-0.5008,132,random
662,5440960,17349,29,360.5,3005.2,2.7,4.0,1.83,0.7647,0.5556,1.0,0.0,0.7647,,332.2,6.14,0.5665,17.18,0.1992,1.76,0.0088,0.0674,0.8771,-0.007,0.0252,-0.5061,132,random
663,5449152,17371,22,367.3,3006.6,2.7,3.8,1.85,0.9167,0.875,1.0,0.0,0.9167,,398.7,6.91,0.5467,15.34,0.2002,1.73,0.0082,0.065,0.9344,-0.0071,0.0128,-0.5265,132,random
664,5457344,17399,28,374.2,2826.1,2.9,3.8,1.95,0.8235,0.6667,1.0,0.0,0.8235,,305.4,5.89,0.5893,16.74,0.2091,1.8,0.0074,0.0608,0.8991,-0.0057,0.022,-0.5137,132,random
665,5465536,17431,32,380.7,3159.5,2.6,3.8,1.69,0.7222,0.625,0.8,0.0,0.7222,,277.4,5.38,0.5619,16.73,0.1995,1.75,0.0066,0.0629,0.8302,-0.0064,0.0329,-0.486,132,random
666,5473728,17451,20,387.0,3301.7,2.5,3.8,1.62,0.7273,0.5,0.8571,0.0,0.7273,,325.4,5.45,0.5815,16.42,0.2078,1.79,0.0073,0.0582,0.9124,-0.0059,0.0169,-0.5331,133,random
667,5481920,17474,23,393.5,3163.5,2.6,3.9,1.7,0.9231,1.0,0.8333,0.0,0.9231,,300.2,5.52,0.5689,16.23,0.2041,1.77,0.0075,0.062,0.8608,-0.0064,0.0254,-0.5087,133,random
668,5490112,17497,23,400.1,3088.4,2.7,3.9,1.72,1.0,1.0,1.0,0.0,1.0,,340.0,5.83,0.5869,17.06,0.2069,1.8,0.0078,0.0615,0.9055,-0.0065,0.0178,-0.5378,133,random
669,5498304,17511,14,406.7,3107.2,2.6,3.9,1.76,0.875,0.8,1.0,0.0,0.875,,428.1,8.07,0.587,17.58,0.2047,1.8,0.008,0.058,0.9319,-0.0065,0.0118,-0.5492,133,random
670,5506496,17537,26,413.3,3171.4,2.6,3.9,1.69,0.9231,0.8889,1.0,0.0,0.9231,,371.9,6.31,0.5998,17.12,0.2112,1.82,0.0059,0.0554,0.8649,-0.0057,0.0234,-0.5476,133,random
671,5514688,17562,25,419.9,3144.0,2.6,4.0,1.71,0.7273,0.5714,1.0,0.0,0.7273,,406.0,6.56,0.6054,17.68,0.2107,1.83,0.0068,0.0541,0.8971,-0.0071,0.0203,-0.5272,134,random
672,5522880,17586,24,426.5,3206.5,2.6,3.8,1.65,0.7857,0.7143,0.8571,0.0,0.7857,,336.8,6.21,0.595,16.22,0.2135,1.81,0.0076,0.0645,0.9123,-0.0056,0.0174,-0.5321,134,random
