update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
373,3058752,10695,14,1363.2,2594.9,3.2,8.3,2.01,0.8333,0.8,1.0,0.0,0.8333,,370.0,5.57,0.8287,17.34,0.2905,2.29,0.0089,0.0802,0.877,-0.0069,0.0164,-0.7755,74,random
374,3066944,10718,23,1375.0,2415.5,3.4,8.3,2.22,0.7857,0.8182,0.6667,0.0,0.7857,,353.7,6.39,0.8545,16.92,0.3021,2.35,0.0105,0.0834,0.9046,-0.0078,0.0187,-0.8368,74,random
375,3075136,10743,25,1386.8,2410.5,3.4,8.4,2.24,0.875,0.6667,1.0,0.0,0.875,,451.2,6.92,0.9039,16.77,0.3206,2.47,0.0102,0.0774,0.8552,-0.0071,0.0219,-0.8203,74,random
376,3083328,10761,18,1398.7,2480.3,3.3,8.4,2.15,0.6667,0.4,0.8571,0.0,0.6667,,291.4,5.94,0.8652,17.02,0.3052,2.38,0.0096,0.0904,0.8889,-0.0075,0.0184,-0.797,75,random
377,3091520,10786,25,1410.3,2654.5,3.1,8.5,1.89,0.6154,0.5,0.7143,0.0,0.6154,,410.6,7.16,0.9216,17.33,0.3231,2.51,0.0077,0.0674,0.9032,-0.009,0.0159,-0.8179,75,random
378,3099712,10802,16,1422.2,2485.4,3.3,8.3,2.16,0.6,0.5,0.6667,0.0,0.6,,466.7,6.81,0.9014,17.0,0.3182,2.46,0.0064,0.0616,0.8964,-0.0078,0.0144,-0.81,75,random
379,3107904,10824,22,1434.2,2355.5,3.5,8.0,2.27,0.5455,0.2857,1.0,0.0,0.5455,,366.5,6.23,0.9303,17.42,0.3256,2.54,0.0094,0.0769,0.9162,-0.0066,0.0126,-0.8281,75,random
380,3116096,10840,16,1445.4,2625.3,3.1,7.9,1.98,0.8182,0.6667,0.875,0.0,0.8182,,367.5,7.69,0.9258,17.24,0.3252,2.52,0.0075,0.0694,0.9158,-0.0078,0.0133,-0.8286,75,random
381,3124288,10865,25,1456.6,2593.1,3.2,8.5,1.97,0.875,0.75,1.0,0.0,0.875,,407.2,6.08,0.902,16.52,0.3216,2.46,0.0089,0.0699,0.835,-0.0086,0.0263,-0.8494,76,random
382,3132480,10885,20,1468.3,2664.5,3.1,8.4,1.92,0.4615,0.1429,0.8333,0.0,0.4615,,401.8,7.45,0.9546,16.94,0.3374,2.6,0.0093,0.0739,0.8831,-0.0091,0.0165,-0.8443,76,random
383,3140672,10897,12,1479.8,2740.7,3.0,8.1,1.8,1.0,1.0,1.0,0.0,1.0,,477.4,7.25,0.8829,16.73,0.3134,2.42,0.0107,0.0697,0.8848,-0.0074,0.0135,-0.799,76,random
384,3148864,10919,22,1491.2,2646.1,3.1,8.4,1.91,0.6364,0.8,0.5,0.1818,0.6364,,382.7,6.73,0.8807,17.12,0.3101,2.41,0.0088,0.0835,0.8355,-0.0075,0.0224,-0.7866,76,random
385,3157056,10940,21,1502.7,2807.5,2.9,8.0,1.74,0.5,0.5,0.5,0.0,0.5,,432.1,6.67,0.9032,17.33,0.3167,2.47,0.0089,0.0783,0.8552,-0.0079,0.0179,-0.7922,76,random
386,3165248,10957,17,1514.0,2558.8,3.2,8.3,1.99,0.6667,0.3333,1.0,0.0,0.6667,,514.4,7.82,0.8537,17.43,0.2987,2.35,0.0112,0.0822,0.8807,-0.0077,0.0141,-0.7621,77,random
387,3173440,10982,25,1525.7,2596.5,3.2,8.1,1.96,0.7,0.8,0.6,0.1,0.7,,387.0,6.28,0.8658,16.76,0.3071,2.38,0.0137,0.0821,0.8364,-0.0078,0.0251,-0.7641,77,random
388,3181632,10999,17,1536.6,3148.1,2.6,8.2,1.46,0.75,0.6667,1.0,0.0,0.75,,432.3,7.53,0.8386,17.12,0.2953,2.31,0.0128,0.0922,0.9135,-0.0075,0.013,-0.7449,77,random
389,3189824,11015,16,1547.8,2914.6,2.8,8.0,1.68,0.6,0.5,0.6667,0.0,0.6,,482.0,7.31,0.8613,17.28,0.3023,2.37,0.0085,0.0829,0.8632,-0.0084,0.0181,-0.7433,77,random
390,3198016,11035,20,1558.9,2759.9,3.0,8.2,1.82,0.6667,0.8333,0.3333,0.0,0.6667,,379.1,6.45,0.8195,16.81,0.2904,2.27,0.0129,0.0741,0.8871,-0.0075,0.0137,-0.7421,77,random
