update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
271,2220096,8629,26,790.8,2474.7,3.3,8.0,2.17,0.7692,0.75,0.7778,0.0,0.7692,,273.3,5.54,11.0,0.8692,14.6,0.3242,2.38,0.0103,0.085,0.8307,-0.0096,0.022,-0.7493,54,random,,,,,,
272,2228288,8665,36,802.1,2554.8,3.2,8.1,2.07,0.7,0.5833,0.875,0.0,0.7,,316.0,6.17,2.4,0.8528,14.2,0.3214,2.35,0.0102,0.0809,0.7926,-0.0073,0.0285,-0.7605,54,random,,,,,,
273,2236480,8697,32,813.4,2676.6,3.1,7.8,1.92,0.7059,0.8,0.5714,0.0,0.7059,,256.3,5.0,3.71,0.8193,13.34,0.3162,2.27,0.0103,0.0752,0.7066,-0.0057,0.03,-0.7381,54,random,,,,,,
274,2244672,8724,27,824.2,2891.7,2.8,8.0,1.7,0.6364,0.5556,1.0,0.0,0.6364,,236.6,4.56,1.64,0.838,13.82,0.3191,2.31,0.0111,0.0768,0.7211,-0.006,0.0279,-0.7417,54,random,,,,,,
275,2252864,8746,22,835.4,2725.2,3.0,7.9,1.84,0.6,0.5,1.0,0.0,0.6,,282.2,5.14,-5.8,0.8229,13.61,0.3152,2.28,0.0087,0.078,0.8245,-0.0053,0.0202,-0.7389,54,random,,,,,,
276,2261056,8770,24,846.3,2900.8,2.8,8.0,1.7,0.75,0.7143,0.8,0.0,0.75,,288.6,5.25,5.92,0.8156,14.12,0.3081,2.26,0.0091,0.0667,0.7744,-0.0069,0.0314,-0.7547,55,random,,,,,,
277,2269248,8800,30,857.5,2729.8,3.0,7.9,1.88,0.8182,0.7143,1.0,0.0,0.8182,,319.7,5.73,4.36,0.859,14.31,0.3228,2.36,0.0092,0.076,0.7011,-0.008,0.0333,-0.7552,55,random,,,,,,
278,2277440,8834,34,869.1,2274.7,3.6,7.8,2.39,0.7778,0.625,0.9,0.0,0.7778,,318.9,5.76,1.83,0.8729,13.5,0.3354,2.39,0.0105,0.0805,0.663,-0.0072,0.0362,-0.7615,55,random,,,,,,
279,2285632,8862,28,880.5,2378.8,3.4,7.9,2.27,0.8235,0.875,0.7778,0.0,0.8235,,285.6,5.79,2.65,0.8622,13.16,0.3346,2.37,0.0093,0.081,0.6986,-0.008,0.0302,-0.7561,55,random,,,,,,
280,2293824,8882,20,891.6,2718.9,3.0,8.1,1.9,0.6667,0.8333,0.5,0.0,0.6667,,265.6,5.3,0.75,0.8092,13.75,0.3087,2.25,0.0097,0.0775,0.7846,-0.0074,0.0228,-0.7326,55,random,,,,,,
281,2302016,8910,28,903.2,2454.5,3.3,8.1,2.19,0.8,0.6,0.9,0.0,0.8,,325.0,6.64,8.4,0.8317,13.67,0.318,2.3,0.0093,0.0777,0.8165,-0.0066,0.0223,-0.7339,56,random,,,,,,
282,2310208,8936,26,914.9,2389.6,3.4,8.1,2.31,0.6429,0.8,0.5556,0.0,0.6429,,331.6,6.27,3.71,0.7796,13.7,0.2978,2.18,0.0095,0.0757,0.7676,-0.0068,0.0266,-0.7077,56,random,,,,,,
283,2318400,8954,18,926.4,2537.6,3.2,8.0,2.13,0.7778,1.0,0.5,0.0,0.7778,,321.3,6.28,12.22,0.7711,13.79,0.2939,2.16,0.0089,0.0803,0.7928,-0.0068,0.0248,-0.698,56,random,,,,,,
284,2326592,8984,30,937.7,2618.8,3.1,7.9,1.97,0.7333,0.8571,0.625,0.0667,0.7333,,349.7,6.73,5.27,0.7933,13.47,0.3051,2.21,0.0092,0.077,0.8302,-0.0056,0.0211,-0.706,56,random,,,,,,
285,2334784,9015,31,948.8,2659.5,3.1,9.4,1.94,0.625,0.6,0.6667,0.0,0.625,,315.5,6.13,1.94,0.7781,14.13,0.2938,2.18,0.0116,0.0797,0.7648,-0.0077,0.0302,-0.695,56,random,1018,200,0.695,0.6,0.79,1.2
286,2342976,9040,25,962.5,2855.4,2.9,7.9,1.76,0.7273,0.5714,1.0,0.0,0.7273,,265.5,5.0,1.55,0.7587,12.8,0.2976,2.14,0.0116,0.078,0.81,-0.0072,0.0223,-0.6611,57,random,,,,,,
287,2351168,9055,15,973.4,2931.3,2.8,8.0,1.7,0.5,0.3333,0.5714,0.0,0.5,,314.7,6.47,4.0,0.7676,13.42,0.2956,2.15,0.0093,0.0623,0.819,-0.0072,0.0203,-0.6762,57,random,,,,,,
288,2359360,9079,24,984.4,2887.7,2.8,7.9,1.73,0.7778,0.8,0.75,0.0,0.7778,,373.5,6.75,9.44,0.7624,13.25,0.2951,2.14,0.01,0.0691,0.6666,-0.0067,0.035,-0.6887,57,random,,,,,,
289,2367552,9105,26,995.3,2801.6,2.9,8.0,1.8,0.7273,0.6,0.8333,0.0,0.7273,,370.3,6.69,11.55,0.7657,13.68,0.2927,2.15,0.0099,0.0769,0.75,-0.007,0.0287,-0.7151,57,random,,,,,,
290,2375744,9128,23,1006.5,2699.7,3.0,7.9,1.85,0.8,0.75,0.8333,0.0,0.8,,346.8,6.17,12.0,0.7931,13.3,0.3065,2.21,0.0098,0.0624,0.846,-0.0087,0.019,-0.7295,57,random,,,,,,
291,2383936,9155,27,1017.7,2594.8,3.2,7.8,2.02,0.6923,0.875,0.4,0.0,0.6923,,390.4,7.26,8.92,0.8058,14.08,0.3047,2.24,0.0108,0.0772,0.7917,-0.0067,0.0249,-0.7153,58,random,,,,,,
292,2392128,9183,28,1029.1,2397.1,3.4,8.0,2.28,0.6923,0.7143,0.6667,0.0,0.6923,,265.8,5.29,0.38,0.7701,13.25,0.298,2.16,0.0081,0.0727,0.7954,-0.008,0.026,-0.6905,58,random,,,,,,
293,2400320,9211,28,1040.5,2451.9,3.3,8.0,2.22,0.8,0.625,1.0,0.0,0.8,,339.8,6.64,3.2,0.7679,13.66,0.2937,2.16,0.0096,0.089,0.8073,-0.0074,0.0211,-0.722,58,random,,,,,,
294,2408512,9245,34,1052.1,2357.3,3.5,7.8,2.32,0.8182,0.7273,0.9091,0.0,0.8182,,256.2,5.62,3.55,0.7645,12.6,0.3017,2.15,0.01,0.0771,0.7227,-0.0074,0.0357,-0.6917,58,random,,,,,,
295,2416704,9267,22,1063.5,2429.3,3.4,8.0,2.27,0.8,0.5,1.0,0.0,0.8,,334.3,5.91,4.9,0.7761,13.7,0.2965,2.17,0.0087,0.0666,0.835,-0.0085,0.0193,-0.6613,58,random,,,,,,
296,2424896,9296,29,1074.9,2537.3,3.2,7.8,2.09,0.7647,0.75,0.7778,0.0,0.7647,,272.6,5.86,5.76,0.7537,13.23,0.2918,2.12,0.0092,0.0722,0.7467,-0.0064,0.0315,-0.679,59,random,,,,,,
297,2433088,9329,33,1085.9,2624.5,3.1,8.0,1.99,0.5238,0.5,0.5455,0.0,0.5238,,263.8,5.55,4.52,0.7781,13.03,0.3031,2.18,0.0085,0.0706,0.7308,-0.0073,0.0287,-0.704,59,random,,,,,,
