update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
130,1064960,4265,31,1327.3,1493.9,5.5,4.1,0.7143,0.6667,0.75,0.0,0.7143,,221.7,5.19,1.1159,9.74,0.4902,3.05,0.0065,0.0699,0.6848,-0.0064,0.0339,-1.0049,25,random
131,1073152,4292,27,1336.7,1559.4,5.3,4.1,0.7273,0.8333,0.6,0.0,0.7273,,299.7,7.0,1.0842,9.46,0.4825,2.96,0.0078,0.0785,0.7802,-0.0059,0.0272,-0.9917,26,random
132,1081344,4328,36,1346.5,1451.7,5.6,4.0,0.6667,0.5455,0.8571,0.0,0.6667,,268.0,6.14,1.11,9.67,0.4892,3.03,0.0077,0.0575,0.7111,-0.0068,0.0343,-0.9843,26,random
133,1089536,4363,35,1355.9,1556.9,5.3,4.0,0.7778,0.5,1.0,0.0,0.7778,,233.0,5.54,1.048,9.12,0.474,2.85,0.006,0.0623,0.7121,-0.0069,0.0352,-0.9895,26,random
134,1097728,4393,30,1365.6,1460.4,5.6,4.0,0.8,0.6,1.0,0.0,0.8,,254.2,5.63,1.0827,8.92,0.4947,2.95,0.0083,0.0724,0.7715,-0.0062,0.0331,-0.9993,26,random
135,1105920,4436,43,1375.9,1332.1,6.1,4.1,0.75,0.6364,0.8889,0.0,0.75,,239.4,5.77,1.1102,9.34,0.4969,3.03,0.0069,0.063,0.7395,-0.0073,0.0398,-0.9979,26,random
136,1114112,4486,50,1386.3,1301.0,6.3,4.0,0.7097,0.6471,0.7857,0.0323,0.7097,,184.0,4.98,1.1105,9.35,0.4967,3.04,0.0072,0.0701,0.7379,-0.0057,0.0433,-1.0109,27,random
137,1122304,4514,28,1396.2,1403.2,5.8,4.1,0.8333,0.875,0.75,0.0,0.8333,,235.1,5.36,1.0967,9.68,0.4831,2.99,0.0099,0.0648,0.7937,-0.0058,0.0331,-0.9982,27,random
138,1130496,4563,49,1406.7,1302.9,6.3,4.0,0.6522,0.5455,0.75,0.0,0.6522,,194.9,4.69,1.0865,9.63,0.4798,2.96,0.0107,0.0714,0.6884,-0.0055,0.048,-0.9758,27,random
139,1138688,4605,42,1416.5,1429.6,5.7,4.1,0.7619,0.5833,1.0,0.0,0.7619,,196.8,4.88,1.1055,10.26,0.4748,3.02,0.0059,0.0578,0.7522,-0.0064,0.0395,-0.9639,27,random
140,1146880,4638,33,1426.2,1464.9,5.6,4.1,0.7333,0.75,0.7143,0.0,0.7333,,221.0,5.39,1.0406,9.57,0.4606,2.83,0.007,0.0642,0.7438,-0.0063,0.0384,-0.9605,27,random
141,1155072,4672,34,1436.0,1463.6,5.6,4.1,0.8421,0.7778,0.9,0.0,0.8421,,224.7,5.62,1.0604,10.34,0.454,2.89,0.0055,0.0596,0.76,-0.0051,0.0317,-0.9559,28,random
142,1163264,4707,35,1445.4,1550.6,5.3,4.3,0.8667,0.8333,0.8889,0.0,0.8667,,206.0,4.8,1.096,10.45,0.4671,2.99,0.009,0.0851,0.7884,-0.008,0.0351,-0.9894,28,random
143,1171456,4758,51,1454.9,1618.5,5.1,4.4,0.8696,0.7692,1.0,0.0435,0.8696,,211.5,4.75,1.1022,10.34,0.4718,3.01,0.0083,0.0656,0.765,-0.0058,0.0412,-0.9669,28,random
144,1179648,4788,30,1464.7,1537.6,5.3,4.5,0.6923,0.5714,0.8333,0.0,0.6923,,202.1,4.63,1.0464,10.2,0.4505,2.85,0.0069,0.0686,0.8299,-0.0069,0.0296,-0.9425,28,random
145,1187840,4816,28,1474.1,1695.4,4.8,4.9,0.8824,0.8,1.0,0.0,0.8824,,214.4,5.5,1.0264,10.18,0.4424,2.79,0.0087,0.0733,0.8831,-0.0064,0.0216,-0.9869,28,random
146,1196032,4849,33,1483.5,1881.6,4.4,5.3,0.8125,1.0,0.7,0.0,0.8125,,237.8,5.55,1.0562,10.22,0.4544,2.88,0.0083,0.0757,0.7787,-0.0073,0.0357,-0.9393,29,random
147,1204224,4882,33,1493.4,1812.9,4.5,5.0,0.8,0.8,0.8,0.0,0.8,,292.3,6.27,1.0259,10.51,0.4361,2.79,0.0088,0.0803,0.8482,-0.0065,0.0302,-0.9412,29,random
148,1212416,4906,24,1503.0,1785.6,4.6,4.6,0.8889,0.8333,1.0,0.0,0.8889,,278.4,5.92,1.0705,10.79,0.4501,2.92,0.0078,0.0681,0.8763,-0.0064,0.0227,-0.9726,29,random
149,1220608,4936,30,1513.2,1501.0,5.5,4.5,0.8462,0.8889,0.75,0.0,0.8462,,246.9,5.47,1.107,11.28,0.4569,3.03,0.0082,0.0739,0.8342,-0.0066,0.0367,-0.9933,29,random
150,1228800,4977,41,1523.9,1330.1,6.2,4.6,0.7727,0.8333,0.75,0.0,0.7727,,267.0,6.1,1.0928,10.99,0.4559,2.98,0.0066,0.064,0.8216,-0.007,0.0332,-0.9892,29,random
151,1236992,5009,32,1534.3,1451.0,5.6,4.7,0.8095,0.9,0.7273,0.0,0.8095,,246.4,5.94,1.0517,10.75,0.4429,2.86,0.007,0.0606,0.7997,-0.007,0.0396,-0.9611,30,random
152,1245184,5036,27,1544.4,1534.7,5.3,4.3,0.8235,1.0,0.7273,0.0,0.8235,,231.1,5.85,1.0745,11.55,0.4392,2.93,0.0069,0.0677,0.8172,-0.0064,0.0339,-0.9711,30,random
153,1253376,5066,30,1554.6,1418.7,5.8,4.2,0.7143,0.6667,0.8,0.0,0.7143,,279.9,6.1,1.0502,11.25,0.4338,2.86,0.009,0.0758,0.8441,-0.0091,0.0289,-0.9593,30,random
154,1261568,5099,33,1564.7,1411.9,5.8,4.3,0.8235,0.875,0.7778,0.0,0.8235,,305.2,6.76,1.0752,11.85,0.4349,2.93,0.0079,0.0919,0.8288,-0.0058,0.035,-0.9722,30,random
155,1269760,5126,27,1574.6,1482.5,5.5,4.3,0.8333,1.0,0.7143,0.0,0.8333,,269.0,5.89,1.0419,11.5,0.4266,2.83,0.0076,0.0674,0.804,-0.0061,0.0367,-0.9526,30,random
156,1277952,5155,29,1584.7,1429.7,5.7,4.2,0.7059,0.6667,0.75,0.0,0.7059,,304.6,6.72,1.0698,11.79,0.4336,2.91,0.008,0.0834,0.8377,-0.0063,0.0279,-0.9408,31,random
157,1286144,5180,25,1594.8,1415.6,5.8,4.3,0.7647,0.5,0.9091,0.0,0.7647,,245.0,6.0,1.0533,11.76,0.4273,2.87,0.0103,0.1,0.8455,-0.0028,0.026,-0.9585,31,random
158,1294336,5208,28,1605.4,1317.6,6.2,4.3,0.9333,0.8333,1.0,0.0,0.9333,,266.1,6.11,1.0992,12.6,0.4339,3.0,0.0086,0.0745,0.8149,-0.0073,0.0292,-0.9807,31,random
159,1302528,5241,33,1615.9,1350.4,6.1,4.4,0.7222,0.6923,0.8,0.0,0.7222,,340.6,7.36,1.093,12.41,0.434,2.98,0.0139,0.0923,0.8271,-0.0053,0.029,-1.009,31,random
160,1310720,5268,27,1626.4,1378.4,5.9,4.3,0.9412,0.8333,1.0,0.0,0.9412,,301.0,6.74,1.0451,11.82,0.4231,2.84,0.0079,0.0822,0.8423,-0.0072,0.0224,-0.9559,31,random
161,1318912,5298,30,1636.2,1508.7,5.4,4.2,0.9375,0.8889,1.0,0.0,0.9375,,270.3,6.47,1.0302,11.57,0.4207,2.8,0.0077,0.0899,0.8178,-0.0069,0.0269,-0.9422,32,random
162,1327104,5321,23,1646.2,1438.0,5.7,4.2,0.9091,1.0,0.8333,0.0,0.9091,,241.1,5.35,1.0252,12.35,0.4079,2.79,0.0074,0.0663,0.8243,-0.007,0.0285,-0.9311,32,random
163,1335296,5347,26,1656.0,1495.6,5.5,4.1,0.8667,0.9,0.8,0.0,0.8667,,349.8,7.73,1.0078,12.33,0.4012,2.74,0.0094,0.0884,0.8694,-0.0084,0.0182,-0.9208,32,random
164,1343488,5381,34,1666.2,1371.1,6.0,4.2,0.95,1.0,0.9091,0.0,0.95,,261.0,5.85,1.0086,11.68,0.4104,2.74,0.0089,0.0771,0.8032,-0.0066,0.0323,-0.9396,32,random
165,1351680,5403,22,1676.0,1488.5,5.5,4.3,0.9167,0.875,1.0,0.0,0.9167,,285.4,6.32,1.0396,12.98,0.4056,2.83,0.0081,0.068,0.8604,-0.0072,0.0241,-0.9173,32,random
166,1359872,5431,28,1685.9,1502.6,5.5,4.5,0.9286,0.9,1.0,0.0,0.9286,,348.5,7.18,0.9916,12.44,0.3933,2.7,0.0081,0.0724,0.8634,-0.0074,0.0236,-0.8951,33,random
167,1368064,5462,31,1695.5,1650.2,5.0,4.8,0.7647,0.5714,0.9,0.0588,0.7647,,289.5,6.23,1.0128,12.54,0.4005,2.75,0.0101,0.0775,0.8158,-0.007,0.0304,-0.9035,33,random
168,1376256,5483,21,1705.3,1685.8,4.9,5.2,0.9091,1.0,0.8,0.0,0.9091,,286.2,6.0,1.0021,12.83,0.3926,2.72,0.0111,0.086,0.8779,-0.0064,0.0199,-0.8948,33,random
169,1384448,5512,29,1715.2,1748.4,4.7,5.3,1.0,1.0,1.0,0.0,1.0,,305.8,6.14,0.9734,12.15,0.3897,2.65,0.0086,0.0829,0.855,-0.008,0.026,-0.8819,33,random
170,1392640,5549,37,1725.5,1672.9,4.9,5.4,0.9,1.0,0.8182,0.0,0.9,,270.2,5.65,0.9648,12.06,0.3875,2.62,0.0102,0.076,0.7572,-0.0069,0.0365,-0.8631,33,random
171,1400832,5573,24,1735.3,1876.8,4.4,5.2,1.0,1.0,1.0,0.0,1.0,,316.9,6.08,0.9471,12.58,0.3741,2.58,0.008,0.074,0.8583,-0.0063,0.0216,-0.8641,34,random
172,1409024,5599,26,1745.3,1724.7,4.7,5.1,0.6154,0.6667,0.5714,0.0,0.6154,,296.4,6.23,0.9678,12.43,0.384,2.63,0.0075,0.0704,0.7865,-0.0061,0.031,-0.8563,34,random
173,1417216,5626,27,1755.3,1736.1,4.7,4.8,0.8125,0.9,0.6667,0.0,0.8125,,280.0,6.11,0.9656,13.58,0.3702,2.63,0.0084,0.0849,0.8042,-0.0062,0.0256,-0.8515,34,random
174,1425408,5646,20,1765.0,1684.0,4.9,4.3,0.6667,0.75,0.6,0.0,0.6667,,338.6,6.65,0.923,12.81,0.362,2.52,0.0119,0.0772,0.8436,-0.0066,0.0227,-0.8625,34,random
175,1433600,5667,21,1774.7,1545.6,5.3,4.2,1.0,1.0,1.0,0.0,1.0,,406.3,7.33,0.9438,12.67,0.3716,2.57,0.0088,0.0742,0.8276,-0.008,0.0232,-0.87,34,random
176,1441792,5698,31,1784.8,1411.5,5.8,4.1,0.9167,0.8333,1.0,0.0,0.9167,,334.2,6.48,0.9535,13.73,0.3641,2.59,0.0086,0.077,0.8133,-0.0068,0.0278,-0.8618,35,random
177,1449984,5727,29,1794.7,1450.8,5.6,4.3,0.6875,0.75,0.6667,0.0,0.6875,,268.6,5.83,0.9334,12.51,0.3695,2.54,0.0081,0.0712,0.76,-0.0076,0.0468,-0.8496,35,random
178,1458176,5751,24,1804.5,1518.7,5.4,4.8,0.8667,0.7778,1.0,0.0,0.8667,,258.5,5.46,0.9559,13.96,0.3626,2.6,0.0065,0.0715,0.8755,-0.0058,0.0232,-0.8934,35,random
179,1466368,5774,23,1813.8,1871.9,4.4,5.1,0.75,0.8182,0.0,0.0,0.75,,365.9,7.35,0.9475,13.87,0.3603,2.58,0.0093,0.0862,0.7965,-0.0046,0.0393,-0.8425,35,random
180,1474560,5793,19,1823.3,1897.0,4.3,5.5,0.875,0.8,1.0,0.0,0.875,,344.1,6.37,0.9555,14.48,0.3575,2.6,0.0081,0.0826,0.9016,-0.0066,0.0224,-0.8801,35,random
181,1482752,5824,31,1833.6,1752.2,4.7,5.2,0.7333,0.5714,0.875,0.0,0.7333,,340.9,6.55,0.9421,14.15,0.3556,2.57,0.0116,0.0814,0.7396,-0.0023,0.045,-0.8577,36,random
182,1490944,5842,18,1843.4,1794.6,4.6,4.8,0.8,0.8,0.8,0.0,0.8,,339.7,6.44,0.9356,14.39,0.3509,2.55,0.0091,0.0852,0.8861,-0.0067,0.0146,-0.8347,36,random
183,1499136,5861,19,1853.2,1679.7,4.9,4.6,1.0,1.0,1.0,0.0,1.0,,370.3,7.21,0.9369,14.03,0.3548,2.55,0.0075,0.0937,0.8634,-0.0057,0.0212,-0.874,36,random
184,1507328,5891,30,1863.2,1539.1,5.3,4.3,0.9,1.0,0.6667,0.0,0.9,,415.5,7.13,0.9323,13.34,0.3599,2.54,0.0094,0.0788,0.7032,-0.006,0.0387,-0.8552,36,random
185,1515520,5917,26,1873.3,1423.2,5.8,4.3,0.7273,0.7143,0.75,0.0,0.7273,,296.2,5.58,0.8982,12.93,0.3509,2.46,0.0103,0.1068,0.6788,-0.0032,0.038,-0.824,36,random
186,1523712,5945,28,1883.7,1368.8,6.0,4.3,0.6471,0.7143,0.6,0.0,0.6471,,272.8,5.82,0.9077,14.59,0.3386,2.48,0.0084,0.0626,0.7327,-0.0064,0.0335,-0.8101,37,random
187,1531904,5970,25,1894.0,1385.7,5.9,4.5,0.6923,0.8,0.625,0.0,0.6923,,319.0,6.36,0.9112,14.09,0.3444,2.49,0.0088,0.0745,0.7444,-0.0064,0.0341,-0.8331,37,random
188,1540096,6001,31,1904.3,1465.4,5.6,4.5,0.9375,0.8889,1.0,0.0,0.9375,,268.9,5.45,0.8921,13.08,0.347,2.44,0.009,0.08,0.6594,-0.0065,0.0332,-0.8399,37,random
189,1548288,6027,26,1914.8,1375.1,6.0,4.7,0.7273,0.6667,0.8,0.0,0.7273,,349.0,6.46,0.9236,13.46,0.3553,2.52,0.0064,0.0633,0.757,-0.0065,0.0269,-0.8334,37,random
190,1556480,6051,24,1925.4,1415.4,5.8,4.8,0.9412,0.9091,1.0,0.0,0.9412,,274.1,6.29,0.9331,14.76,0.3467,2.54,0.0088,0.0827,0.8273,-0.0063,0.0199,-0.8619,37,random
191,1564672,6076,25,1935.4,1589.4,5.2,5.1,0.9167,0.75,1.0,0.0,0.9167,,353.8,7.12,0.9178,14.5,0.3432,2.5,0.009,0.0746,0.8163,-0.0076,0.0233,-0.8357,38,random
192,1572864,6099,23,1945.6,1678.2,4.9,5.5,0.7273,0.5,0.8571,0.0,0.7273,,322.7,6.48,0.9242,14.38,0.3466,2.52,0.0099,0.0835,0.7582,-0.0096,0.0292,-0.8216,38,random
193,1581056,6123,24,1956.3,1605.6,5.1,5.3,0.6923,0.6667,0.7143,0.0,0.6923,,378.4,7.08,0.8584,13.71,0.3279,2.36,0.0089,0.0798,0.7705,-0.0069,0.0286,-0.8085,38,random
194,1589248,6147,24,1966.4,1730.5,4.7,5.5,0.8182,0.75,0.8571,0.0,0.8182,,331.9,6.58,0.8644,13.75,0.3298,2.37,0.0153,0.0966,0.7224,-0.0039,0.0267,-0.8243,38,random
195,1597440,6178,31,1977.2,1599.3,5.1,5.6,0.7273,0.75,0.6667,0.0,0.7273,,358.6,6.42,0.8991,14.75,0.3341,2.46,0.0083,0.0935,0.6775,-0.0046,0.0335,-0.7886,38,random
196,1605632,6192,14,1987.7,1712.6,4.8,5.3,0.4,0.4,0.4,0.0,0.4,,285.0,6.57,0.8726,13.6,0.3343,2.39,0.008,0.0725,0.8257,-0.0065,0.0196,-0.8001,39,random
197,1613824,6215,23,1998.1,1634.3,5.0,5.5,1.0,1.0,1.0,0.0,1.0,,349.6,6.26,0.8976,13.89,0.3412,2.45,0.0121,0.0967,0.7945,-0.0063,0.0259,-0.8318,39,random
198,1622016,6247,32,2009.0,1542.0,5.3,5.6,0.7895,0.6667,0.9,0.0,0.7895,,340.0,6.78,0.8521,14.31,0.3202,2.34,0.0059,0.0623,0.7899,-0.0066,0.0243,-0.7776,39,random
199,1630208,6267,20,2019.5,1701.4,4.8,5.2,0.6364,0.625,0.6667,0.0,0.6364,,298.9,6.2,0.8646,14.12,0.3266,2.37,0.01,0.0714,0.8212,-0.005,0.0208,-0.7958,39,random
200,1638400,6301,34,2029.9,1637.0,5.0,5.0,0.9412,0.9,1.0,0.0,0.9412,,342.6,6.35,0.8503,13.49,0.3268,2.34,0.0092,0.0771,0.797,-0.0086,0.0271,-0.7913,39,random
201,1646592,6323,22,2040.1,1584.5,5.2,4.2,0.6,0.5,0.6667,0.0,0.6,,298.1,5.64,0.8942,13.7,0.3416,2.45,0.0078,0.069,0.8702,-0.007,0.0194,-0.7824,40,random
202,1654784,6349,26,2050.2,1402.5,5.8,4.2,0.8,0.8,0.8,0.0,0.8,,346.1,6.23,0.8384,14.13,0.3165,2.31,0.0078,0.0701,0.8716,-0.0088,0.0208,-0.7655,40,random
203,1662976,6371,22,2059.5,1629.1,5.0,4.7,1.0,1.0,1.0,0.0,1.0,,258.4,5.14,0.8405,14.71,0.3126,2.32,0.0069,0.0667,0.8258,-0.0063,0.0236,-0.7503,40,random
204,1671168,6394,23,2069.0,1774.5,4.6,5.3,0.7,0.6667,0.75,0.0,0.7,,345.0,6.48,0.793,14.34,0.2978,2.21,0.0091,0.0699,0.8234,-0.0058,0.0254,-0.742,40,random
205,1679360,6423,29,2079.3,1684.9,4.9,5.6,0.7273,0.6667,1.0,0.0,0.7273,,340.6,6.0,0.7765,14.04,0.2939,2.17,0.0087,0.0754,0.8413,-0.0061,0.0247,-0.7077,40,random
206,1687552,6451,28,2090.2,1551.5,5.3,5.3,0.9231,0.9,1.0,0.0,0.9231,,303.2,5.5,0.7892,13.17,0.3062,2.2,0.0109,0.0827,0.8327,-0.0065,0.0255,-0.7297,41,random
207,1695744,6482,31,2101.3,1445.2,5.7,5.5,0.7059,1.0,0.6154,0.0,0.7059,,325.4,6.48,0.8205,13.81,0.3125,2.27,0.0075,0.0775,0.7822,-0.0071,0.034,-0.7502,41,random
208,1703936,6503,21,2112.4,1495.4,5.5,5.7,0.8889,1.0,0.75,0.0,0.8889,,296.1,5.71,0.8251,14.25,0.3105,2.28,0.0085,0.0835,0.824,-0.0049,0.0201,-0.745,41,random
209,1712128,6529,26,2123.3,1595.6,5.1,5.5,0.7059,0.6364,0.8333,0.0,0.7059,,302.0,6.5,0.8168,13.93,0.3101,2.26,0.0074,0.0678,0.7939,-0.0062,0.0247,-0.7326,41,random
210,1720320,6550,21,2133.7,1674.9,4.9,5.1,0.6667,0.6,0.7143,0.0,0.6667,,294.9,6.1,0.8611,15.39,0.315,2.37,0.0094,0.1029,0.8741,-0.0046,0.0198,-0.782,41,random
211,1728512,6579,29,2144.1,1582.6,5.2,5.0,0.5714,0.5,0.6,0.0,0.5714,,347.4,6.28,0.8384,14.8,0.3111,2.31,0.0076,0.0801,0.8232,-0.0049,0.027,-0.7738,42,random
212,1736704,6600,21,2154.9,1443.1,5.7,4.9,0.6667,0.6667,0.6667,0.0,0.6667,,305.8,5.81,0.865,14.21,0.326,2.38,0.0069,0.072,0.8134,-0.0047,0.0272,-0.7848,42,random
213,1744896,6632,32,2165.9,1381.5,5.9,5.2,0.7857,0.8182,0.6667,0.0,0.7857,,350.5,6.44,0.8633,14.55,0.3224,2.37,0.0095,0.0873,0.8133,-0.0063,0.0258,-0.7849,42,random
214,1753088,6659,27,2176.4,1553.8,5.3,5.1,0.7143,0.6667,0.8,0.0,0.7143,,269.0,5.37,0.8089,13.47,0.311,2.25,0.0072,0.0689,0.7441,-0.0066,0.0278,-0.7696,42,random
215,1761280,6687,28,2187.1,1483.0,5.5,5.2,0.9231,0.8571,1.0,0.0,0.9231,,325.7,6.39,0.8203,13.65,0.3138,2.27,0.0084,0.0779,0.8412,-0.007,0.0189,-0.7874,42,random
216,1769472,6712,25,2197.6,1587.1,5.2,5.2,0.5714,0.4444,0.8,0.0,0.5714,,328.3,6.6,0.8903,14.59,0.3322,2.44,0.0074,0.0808,0.8063,-0.0069,0.0247,-0.7737,43,random
217,1777664,6728,16,2207.8,1683.4,4.9,5.0,0.6667,0.6667,0.6667,0.0,0.6667,,397.9,7.56,0.8044,13.71,0.3073,2.24,0.0078,0.0696,0.8697,-0.0075,0.0164,-0.7579,43,random
218,1785856,6746,18,2218.3,1509.3,5.4,5.1,1.0,1.0,1.0,0.0,1.0,,412.1,7.33,0.8232,14.11,0.311,2.28,0.0081,0.066,0.8617,-0.0052,0.0178,-0.7552,43,random
219,1794048,6774,28,2229.0,1480.0,5.5,5.3,0.6875,0.5,0.875,0.0,0.6875,,337.6,7.32,0.8507,14.24,0.3203,2.34,0.0069,0.0765,0.8747,-0.0062,0.0213,-0.7792,43,random
220,1802240,6799,25,2239.8,1518.3,5.4,5.1,0.7692,0.7143,0.8333,0.0,0.7692,,297.7,6.04,0.8496,14.29,0.3194,2.34,0.0075,0.0626,0.834,-0.0066,0.0213,-0.7755,43,random
221,1810432,6829,30,2250.6,1471.4,5.6,5.0,0.8,0.75,0.8571,0.0,0.8,,321.4,6.4,0.8579,13.91,0.3258,2.36,0.0091,0.0856,0.7753,-0.0057,0.0355,-0.7751,44,random
222,1818624,6850,21,2261.7,1355.9,6.0,5.1,0.5,0.6667,0.4286,0.0,0.5,,352.8,6.67,0.8815,14.64,0.3285,2.41,0.0103,0.0816,0.8763,-0.0069,0.0201,-0.7708,44,random
223,1826816,6874,24,2272.8,1399.4,5.9,4.8,0.6875,0.5,0.875,0.0,0.6875,,286.0,6.21,0.8106,13.84,0.3085,2.25,0.0088,0.0798,0.8324,-0.0056,0.0215,-0.7617,44,random
224,1835008,6904,30,2283.1,1513.5,5.4,4.8,0.7222,0.7,0.75,0.0,0.7222,,319.0,6.63,0.8775,13.73,0.335,2.4,0.0092,0.0797,0.8689,-0.0062,0.0209,-0.8068,44,random
225,1843200,6935,31,2293.5,1488.2,5.5,4.7,0.7778,0.75,0.8,0.0,0.7778,,300.0,5.87,0.8516,13.15,0.3305,2.34,0.0053,0.0506,0.8272,-0.0061,0.0246,-0.7981,44,random
226,1851392,6953,18,2303.7,1501.8,5.5,3.9,0.7778,1.0,0.5,0.0,0.7778,,337.0,6.11,0.8449,13.65,0.3233,2.33,0.007,0.0692,0.8466,-0.008,0.0203,-0.7953,45,random
227,1859584,6978,25,2312.2,1820.5,4.5,4.0,0.75,0.75,0.75,0.0,0.75,,330.0,6.36,0.8788,14.42,0.3293,2.41,0.0072,0.0658,0.8483,-0.0077,0.0214,-0.812,45,random
228,1867776,7013,35,2320.9,1726.9,4.7,3.9,0.8571,0.7692,1.0,0.0,0.8571,,303.4,6.26,0.8521,14.18,0.3213,2.34,0.0066,0.0639,0.7913,-0.0065,0.0274,-0.7791,45,random
229,1875968,7033,20,2329.3,1891.4,4.3,3.9,0.9167,1.0,0.8333,0.0,0.9167,,278.8,5.55,0.8227,13.98,0.3119,2.28,0.0058,0.071,0.8052,-0.0059,0.0235,-0.7844,45,random
230,1884160,7054,21,2337.5,1921.1,4.3,4.0,0.8333,0.75,0.875,0.0,0.8333,,363.2,7.38,0.8156,13.48,0.3136,2.26,0.0076,0.0735,0.8266,-0.0076,0.0198,-0.7499,45,random
231,1892352,7077,23,2345.8,1938.7,4.2,3.9,1.0,1.0,1.0,0.0,1.0,,398.1,7.04,0.8095,13.51,0.3109,2.25,0.0074,0.0778,0.8158,-0.0044,0.0231,-0.7524,46,random
232,1900544,7104,27,2354.4,1733.5,4.7,3.9,0.75,1.0,0.6364,0.0,0.75,,324.1,6.93,0.843,13.79,0.3213,2.32,0.0062,0.0678,0.8216,-0.0055,0.0249,-0.7831,46,random
233,1908736,7124,20,2362.6,1975.7,4.1,3.9,0.75,0.8,0.6667,0.0,0.75,,366.9,7.1,0.8825,13.71,0.3371,2.42,0.0066,0.0721,0.8683,-0.0066,0.0175,-0.8013,46,random
234,1916928,7154,30,2371.2,1788.6,4.6,3.9,0.7143,0.6364,1.0,0.0,0.7143,,376.9,6.97,0.7862,12.58,0.3104,2.19,0.0087,0.0835,0.7846,-0.0063,0.029,-0.7388,46,random
235,1925120,7177,23,2379.8,1759.5,4.7,3.9,0.75,0.6667,0.8,0.0,0.75,,243.0,5.61,0.8099,13.31,0.3129,2.25,0.0075,0.073,0.8612,-0.0063,0.0181,-0.7507,46,random
236,1933312,7202,25,2387.7,2053.0,4.0,3.9,0.7692,0.7778,0.75,0.0,0.7692,,294.0,5.96,0.7968,13.6,0.3053,2.22,0.0077,0.0764,0.869,-0.007,0.0206,-0.7454,47,random
237,1941504,7232,30,2395.4,2156.3,3.8,3.8,0.8,0.6667,1.0,0.0,0.8,,340.1,6.13,0.812,12.77,0.3188,2.25,0.0066,0.0598,0.8847,-0.0077,0.019,-0.7319,47,random
238,1949696,7252,20,2403.8,1858.9,4.4,3.9,0.7143,0.5,0.8,0.0,0.7143,,327.2,5.9,0.8143,13.3,0.3147,2.26,0.0076,0.0666,0.8474,-0.0065,0.0242,-0.7269,47,random
239,1957888,7282,30,2411.7,2080.2,3.9,3.9,0.7,0.6429,0.8333,0.0,0.7,,312.5,6.63,0.7982,12.67,0.3144,2.22,0.0055,0.0688,0.796,-0.0061,0.0287,-0.7249,47,random
240,1966080,7309,27,2419.1,2353.7,3.5,3.9,0.6667,0.6667,0.6667,0.0,0.6667,,302.0,5.44,0.8672,14.27,0.3263,2.38,0.0083,0.0808,0.8572,-0.0061,0.0229,-0.7687,47,random
241,1974272,7322,13,2427.0,2145.8,3.8,3.9,0.6,0.3333,1.0,0.0,0.6,,281.5,4.92,0.8251,14.08,0.3119,2.28,0.0076,0.0668,0.8459,-0.0067,0.0178,-0.7283,48,random
242,1982464,7348,26,2435.0,2038.0,4.0,3.9,0.8,0.8,0.8,0.0,0.8,,397.2,7.0,0.8094,13.45,0.3114,2.25,0.0068,0.0647,0.8215,-0.0068,0.0245,-0.7478,48,random
243,1990656,7381,33,2443.2,1917.3,4.3,3.8,0.7857,0.8182,0.6667,0.0,0.7857,,352.8,6.45,0.7612,13.55,0.2921,2.14,0.0078,0.0706,0.7999,-0.0066,0.0287,-0.6889,48,random
244,1998848,7400,19,2451.6,1841.1,4.4,3.8,0.625,0.5,0.75,0.0,0.625,,320.0,5.68,0.7806,13.45,0.3003,2.18,0.0089,0.0774,0.8406,-0.0062,0.0195,-0.7124,48,random
245,2007040,7428,28,2460.0,1785.6,4.6,4.0,0.7692,0.6667,0.8571,0.0,0.7692,,351.8,6.89,0.8335,14.01,0.3158,2.3,0.0067,0.0669,0.8468,-0.006,0.0252,-0.7406,48,random
246,2015232,7463,35,2468.9,1684.8,4.9,3.8,0.6667,0.7,0.625,0.0,0.6667,,313.1,5.94,0.7787,12.67,0.3067,2.18,0.0081,0.0604,0.8223,-0.006,0.031,-0.7087,49,random
247,2023424,7487,24,2478.1,1564.1,5.2,3.8,0.7692,0.7143,0.8333,0.0,0.7692,,267.6,5.46,0.8146,13.43,0.3136,2.26,0.007,0.0762,0.844,-0.0066,0.0219,-0.731,49,random
248,2031616,7512,25,2487.2,1572.2,5.2,3.9,0.5882,0.5714,0.6,0.0588,0.5882,,313.6,7.16,0.7647,13.32,0.2953,2.15,0.0073,0.0663,0.8539,-0.007,0.0227,-0.7196,49,random
249,2039808,7534,22,2495.8,1792.9,4.6,3.9,0.3846,0.1667,0.5714,0.0,0.3846,,315.0,6.68,0.7679,12.67,0.3024,2.16,0.007,0.0751,0.7879,-0.0065,0.0264,-0.6951,49,random
250,2048000,7559,25,2503.9,1991.7,4.1,3.9,0.6364,0.8,0.5,0.0,0.6364,,332.4,6.4,0.7496,13.35,0.2893,2.12,0.0058,0.0488,0.7869,-0.0066,0.0246,-0.7035,49,random
