update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
38,311296,1308,27,390.8,1242.0,6.6,4.8,0.9286,0.8333,1.0,0.0,0.9286,,258.1,6.78,1.5862,10.9,0.664,4.89,0.0049,0.037,0.8239,-0.0042,0.0243,-1.4776,7,random
39,319488,1351,43,401.9,1309.2,6.3,4.9,0.76,0.6364,0.8571,0.0,0.76,,239.9,6.4,1.6424,11.25,0.6786,5.17,0.0047,0.0334,0.7555,-0.0056,0.039,-1.4676,7,random
40,327680,1395,44,412.9,1378.6,5.9,4.9,0.6667,0.4286,0.7857,0.0,0.6667,,207.0,5.23,1.5996,10.8,0.6723,4.95,0.0046,0.0358,0.8114,-0.005,0.0298,-1.4999,7,random
41,335872,1431,36,423.6,1427.5,5.7,5.0,0.5263,0.5556,0.5,0.0,0.5263,,180.0,4.81,1.6406,11.22,0.6787,5.16,0.0039,0.0267,0.7611,-0.0049,0.0379,-1.4798,8,random
42,344064,1466,35,435.1,1288.4,6.4,5.2,0.6923,0.5,0.8571,0.0,0.6923,,234.5,5.51,1.5631,10.41,0.6672,4.77,0.0037,0.0242,0.8146,-0.0049,0.0291,-1.4917,8,random
43,352256,1511,45,446.6,1327.3,6.2,5.4,0.6207,0.4,0.8571,0.0,0.6207,,186.2,5.29,1.6122,10.83,0.6767,5.01,0.0037,0.0229,0.8034,-0.0039,0.0344,-1.4836,8,random
44,360448,1545,34,458.2,1337.5,6.1,5.4,0.6471,0.5,0.7778,0.0,0.6471,,238.5,6.0,1.5861,10.58,0.6723,4.88,0.0048,0.0333,0.8333,-0.0049,0.0318,-1.4908,8,random
45,368640,1581,36,469.5,1423.7,5.8,5.6,0.4762,0.3636,0.6,0.0,0.4762,,203.2,5.53,1.6235,11.3,0.6697,5.07,0.0048,0.0381,0.7939,-0.0042,0.0362,-1.4706,8,random
46,376832,1603,22,481.0,1435.4,5.7,5.9,0.6429,0.375,1.0,0.0,0.6429,,248.8,6.36,1.5493,10.69,0.654,4.71,0.0046,0.0311,0.8581,-0.0054,0.023,-1.4608,9,random
47,385024,1640,37,492.0,1620.4,5.1,5.9,0.7059,0.6,0.8571,0.0,0.7059,,278.2,6.76,1.6347,12.26,0.6523,5.13,0.0046,0.0352,0.8396,-0.005,0.0306,-1.4793,9,random
48,393216,1669,29,503.1,1623.9,5.0,5.8,0.7333,0.6667,0.7778,0.0,0.7333,,256.1,6.07,1.5342,10.12,0.6629,4.64,0.0044,0.0359,0.7817,-0.0059,0.0316,-1.4173,9,random
49,401408,1711,42,514.6,1464.6,5.6,5.5,0.75,0.5714,0.8889,0.0,0.75,,246.6,5.57,1.5078,10.34,0.6454,4.52,0.0052,0.0446,0.7042,-0.0056,0.0449,-1.4008,9,random
50,409600,1746,35,526.0,1423.2,5.8,5.4,0.5714,0.4286,0.8571,0.0,0.5714,,212.6,5.74,1.5029,9.95,0.6542,4.49,0.0048,0.0352,0.8096,-0.0055,0.03,-1.4051,9,random
51,417792,1775,29,537.1,1467.9,5.6,5.3,0.5625,0.25,0.875,0.0,0.5625,,223.1,5.83,1.5475,11.11,0.6427,4.7,0.0047,0.0375,0.8336,-0.005,0.0242,-1.435,10,random
52,425984,1809,34,547.9,1523.3,5.4,5.2,0.6471,0.5714,0.7,0.0588,0.6471,,281.9,6.85,1.5217,10.44,0.6489,4.58,0.0054,0.0511,0.8024,-0.0054,0.0324,-1.4169,10,random
53,434176,1835,26,558.2,1646.5,5.0,4.9,0.5,0.4545,0.6667,0.0,0.5,,238.8,6.08,1.4628,10.37,0.6255,4.32,0.0057,0.0444,0.8348,-0.0053,0.0277,-1.3628,10,random
54,442368,1872,37,568.6,1528.3,5.4,4.7,0.7647,0.5,1.0,0.0,0.7647,,262.7,6.19,1.4986,11.07,0.6234,4.48,0.0049,0.0396,0.8154,-0.007,0.032,-1.3917,10,random
55,450560,1911,39,578.8,1515.9,5.4,4.6,0.6316,0.375,0.8182,0.0,0.6316,,268.3,6.46,1.4969,10.61,0.6339,4.47,0.0043,0.0453,0.7977,-0.0049,0.0363,-1.3695,10,random
56,458752,1942,31,589.2,1433.8,5.7,4.4,0.6154,0.4,0.75,0.0,0.6154,,245.3,6.06,1.4334,10.18,0.6179,4.19,0.0062,0.0561,0.8031,-0.0065,0.0297,-1.3493,11,random
57,466944,1969,27,599.3,1473.7,5.6,4.4,0.6875,0.6,0.8333,0.0,0.6875,,226.3,6.3,1.4658,10.5,0.6235,4.33,0.0073,0.0479,0.7747,-0.0058,0.0275,-1.3516,11,random
58,475136,2003,34,609.3,1497.5,5.5,4.3,0.7647,0.7143,0.8,0.0,0.7647,,244.4,5.94,1.4167,9.83,0.6199,4.12,0.0068,0.0581,0.7997,-0.0068,0.0326,-1.3289,11,random
59,483328,2036,33,619.1,1537.8,5.3,4.4,0.5882,0.2222,1.0,0.0,0.5882,,249.7,6.24,1.4311,10.25,0.6148,4.18,0.0049,0.0335,0.807,-0.0057,0.0335,-1.3185,11,random
60,491520,2074,38,629.1,1473.6,5.6,4.1,0.5,0.4,0.625,0.0,0.5,,265.0,6.34,1.4074,9.7,0.6195,4.09,0.0056,0.0551,0.7279,-0.0065,0.0395,-1.281,11,random
61,499712,2103,29,639.2,1378.9,5.9,4.2,0.7857,0.5,1.0,0.0,0.7857,,241.6,6.14,1.3933,9.63,0.6151,4.03,0.0055,0.0457,0.8105,-0.0054,0.026,-1.2874,12,random
62,507904,2137,34,649.0,1477.7,5.5,4.4,0.375,0.3,0.5,0.0,0.375,,232.4,5.91,1.3942,9.77,0.6118,4.03,0.0049,0.0422,0.7708,-0.0059,0.0303,-1.2634,12,random
63,516096,2164,27,658.8,1546.3,5.3,4.5,0.5833,0.6667,0.5,0.0,0.5833,,271.2,6.7,1.3617,9.51,0.6046,3.9,0.0066,0.0599,0.7674,-0.0051,0.0358,-1.2338,12,random
64,524288,2202,38,668.9,1481.2,5.5,4.9,0.7647,0.6667,0.875,0.0,0.7647,,251.3,5.95,1.3609,9.42,0.6067,3.9,0.006,0.045,0.7387,-0.0058,0.037,-1.2619,12,random
65,532480,2241,39,679.7,1395.4,5.9,5.1,0.6667,0.4545,0.8462,0.0417,0.6667,,200.6,5.46,1.3579,9.37,0.6069,3.89,0.006,0.0589,0.6611,-0.0059,0.0385,-1.2415,12,random
66,540672,2281,40,690.3,1506.4,5.4,5.3,0.5769,0.3636,0.7333,0.0,0.5769,,226.2,6.17,1.3484,9.41,0.6016,3.85,0.007,0.0663,0.7145,-0.0043,0.0412,-1.2475,13,random
67,548864,2304,23,700.0,1907.9,4.3,5.0,0.4615,0.3333,0.75,0.0,0.4615,,241.7,6.43,1.3439,9.32,0.6021,3.83,0.0064,0.0651,0.818,-0.0048,0.0254,-1.2315,13,random
68,557056,2343,39,709.8,1755.8,4.7,4.8,0.5833,0.625,0.5,0.0,0.5833,,292.2,6.44,1.3361,9.21,0.6018,3.8,0.0051,0.0451,0.7419,-0.0052,0.0364,-1.2455,13,random
69,565248,2372,29,719.4,1701.2,4.8,4.5,0.5833,0.4286,0.8,0.0,0.5833,,238.3,6.0,1.3474,9.25,0.6056,3.85,0.0055,0.0519,0.7351,-0.0064,0.0398,-1.201,13,random
70,573440,2409,37,729.5,1493.0,5.5,4.6,0.5385,0.6667,0.25,0.0,0.5385,,255.1,6.11,1.3036,8.8,0.5993,3.68,0.0057,0.0533,0.743,-0.0072,0.0371,-1.1912,13,random
71,581632,2448,39,739.9,1461.7,5.6,4.8,0.6538,0.5714,0.75,0.0,0.6538,,186.7,5.13,1.3381,9.29,0.6003,3.81,0.006,0.0487,0.7461,-0.0063,0.0355,-1.2234,14,random
72,589824,2485,37,750.7,1386.9,5.9,4.7,0.6364,0.6667,0.6154,0.0,0.6364,,197.6,5.24,1.3088,9.19,0.5901,3.7,0.0085,0.0872,0.7292,-0.0046,0.0394,-1.2256,14,random
73,598016,2512,27,760.8,1552.6,5.3,4.6,0.5714,0.2,0.7778,0.0714,0.5714,,289.7,6.93,1.3581,10.08,0.5877,3.89,0.0054,0.0535,0.8337,-0.0061,0.0225,-1.2356,14,random
74,606208,2541,29,770.9,1518.3,5.4,4.6,0.5789,0.1429,0.8333,0.0,0.5789,,265.0,6.93,1.3176,9.69,0.58,3.73,0.0056,0.0531,0.8627,-0.0059,0.0207,-1.2254,14,random
75,614400,2576,35,780.4,1705.8,4.8,4.2,0.4706,0.3333,0.625,0.0,0.4706,,265.5,6.57,1.2955,8.8,0.5957,3.65,0.0065,0.0494,0.7705,-0.0064,0.0346,-1.203,14,random
76,622592,2606,30,789.9,1599.0,5.1,4.0,0.6471,0.7778,0.5,0.0,0.6471,,181.2,4.6,1.2772,8.94,0.5829,3.59,0.0089,0.0667,0.7748,-0.0036,0.0325,-1.157,15,random
77,630784,2639,33,799.3,1525.2,5.4,4.1,0.7273,0.5,1.0,0.0,0.7273,,334.1,7.0,1.2891,8.93,0.5888,3.63,0.006,0.0551,0.8085,-0.0068,0.0256,-1.1692,15,random
78,638976,2669,30,808.7,1580.8,5.2,4.0,0.5,0.3333,0.8333,0.0,0.5,,221.5,6.0,1.2782,9.63,0.5644,3.59,0.0086,0.0671,0.7918,-0.0074,0.0283,-1.1531,15,random
79,647168,2693,24,817.2,1888.0,4.3,4.7,0.7778,0.5,1.0,0.0,0.7778,,271.2,6.21,1.2593,9.65,0.5555,3.52,0.0067,0.0564,0.8258,-0.0061,0.028,-1.1465,15,random
80,655360,2719,26,826.7,1764.2,4.6,5.0,0.7143,0.6667,0.75,0.0,0.7143,,362.2,7.62,1.2351,8.9,0.5651,3.44,0.0052,0.0529,0.8235,-0.0066,0.0298,-1.1205,15,random
81,663552,2752,33,836.9,1606.1,5.1,5.0,0.5333,0.2857,0.75,0.0,0.5333,,269.4,6.27,1.2397,9.04,0.5632,3.45,0.0062,0.0548,0.7842,-0.0066,0.0346,-1.1393,16,random
82,671744,2782,30,847.5,1479.6,5.5,5.1,0.5,0.4286,0.6,0.0,0.5,,321.8,7.27,1.3016,9.8,0.5702,3.68,0.0061,0.0475,0.7463,-0.0063,0.0381,-1.1563,16,random
83,679936,2824,42,859.0,1312.6,6.2,4.7,0.7917,0.7,0.8571,0.0,0.7917,,222.4,5.71,1.2574,9.03,0.5713,3.52,0.0065,0.065,0.7667,-0.0065,0.0337,-1.136,16,random
84,688128,2851,27,869.4,1444.4,5.7,4.7,0.8235,0.7,1.0,0.0588,0.8235,,208.2,6.07,1.2277,9.27,0.5513,3.41,0.0064,0.0549,0.8522,-0.0048,0.0237,-1.1316,16,random
85,696320,2894,43,880.5,1324.1,6.2,4.4,0.5263,0.3333,0.8571,0.0,0.5263,,259.0,6.21,1.2388,8.35,0.5836,3.45,0.0063,0.0551,0.7233,-0.0071,0.0426,-1.1152,16,random
86,704512,2928,34,891.5,1260.6,6.5,4.2,0.6667,0.6923,0.625,0.0,0.6667,,200.3,5.38,1.2859,9.54,0.5702,3.62,0.0114,0.0715,0.7315,-0.0072,0.0451,-1.1757,17,random
87,712704,2967,39,901.2,1548.8,5.3,4.6,0.7917,0.5556,0.9333,0.0,0.7917,,236.8,6.26,1.2975,9.32,0.5811,3.66,0.0075,0.0696,0.8064,-0.0067,0.0328,-1.176,17,random
88,720896,3004,37,910.6,1740.5,4.7,4.8,0.5833,0.6667,0.5556,0.0,0.5833,,206.8,4.76,1.2602,8.67,0.5835,3.53,0.0045,0.052,0.7777,-0.004,0.0349,-1.1394,17,random
89,729088,3041,37,919.4,2085.7,3.9,5.2,0.6842,0.7778,0.6,0.0,0.6842,,207.2,5.11,1.269,9.33,0.5683,3.56,0.0096,0.0693,0.7368,-0.0066,0.037,-1.1586,17,random
90,737280,3070,29,928.8,2031.9,4.0,4.9,0.7692,0.6,0.875,0.0,0.7692,,195.3,4.45,1.2602,8.86,0.5777,3.53,0.0072,0.0593,0.8106,-0.0061,0.027,-1.1347,17,random
91,745472,3106,36,938.5,1733.3,4.7,4.7,0.8333,0.875,0.75,0.0,0.8333,,299.5,6.36,1.2736,9.45,0.567,3.57,0.0059,0.058,0.7438,-0.007,0.04,-1.1687,18,random
92,753664,3132,26,948.9,1466.6,5.6,4.7,0.8462,0.75,1.0,0.0,0.8462,,253.6,5.88,1.2453,8.96,0.5679,3.47,0.0067,0.0557,0.7724,-0.0063,0.0295,-1.1194,18,random
93,761856,3163,31,958.7,1646.0,5.0,4.6,0.5,0.375,0.6667,0.0,0.5,,279.2,6.77,1.2351,8.76,0.569,3.44,0.008,0.0594,0.8205,-0.0065,0.0298,-1.1427,18,random
94,770048,3195,32,968.7,1528.0,5.4,4.5,0.8125,0.7,1.0,0.0,0.8125,,265.3,6.38,1.2904,9.96,0.5614,3.63,0.0064,0.065,0.8077,-0.0058,0.0267,-1.1699,18,random
95,778240,3219,24,978.7,1510.8,5.4,4.2,0.8182,0.6,1.0,0.0,0.8182,,274.0,6.46,1.2655,9.5,0.5622,3.54,0.0066,0.0721,0.8682,-0.0042,0.0198,-1.1163,18,random
96,786432,3253,34,989.1,1365.1,6.0,4.4,0.65,0.5714,0.6923,0.0,0.65,,263.2,6.79,1.2287,9.09,0.5566,3.42,0.0067,0.0572,0.8282,-0.0073,0.0314,-1.1048,19,random
97,794624,3289,36,999.3,1427.5,5.7,4.5,0.875,0.8571,0.8889,0.0,0.875,,271.1,6.14,1.2421,9.29,0.5571,3.46,0.0058,0.0562,0.8044,-0.0061,0.032,-1.1331,19,random
98,802816,3323,34,1008.9,1623.8,5.0,4.1,0.65,0.625,0.6667,0.0,0.65,,236.8,6.09,1.2114,9.03,0.5505,3.36,0.0074,0.0567,0.7749,-0.0079,0.0367,-1.114,19,random
