update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
79,647168,2774,35,829.6,2475.5,3.3,7.2,2.07,0.6667,0.7143,0.625,0.0,0.6667,,225.7,5.4,12.0,1.2716,9.2,0.5731,3.57,0.0074,0.0653,0.7074,-0.0071,0.0395,-1.1443,15,random
80,655360,2809,35,840.0,2721.9,3.0,7.3,1.82,0.6471,0.6364,0.6667,0.0,0.6471,,236.6,6.03,3.53,1.1936,8.29,0.5643,3.3,0.0081,0.0831,0.7381,-0.007,0.0372,-1.1206,15,random
81,663552,2856,47,851.0,2285.4,3.6,7.3,2.41,0.6522,0.6667,0.6364,0.0,0.6522,,206.6,5.53,8.3,1.2059,8.93,0.5507,3.34,0.0071,0.0597,0.7065,-0.0073,0.045,-1.1316,16,random
82,671744,2906,50,862.0,2271.3,3.6,7.4,2.41,0.6538,0.625,0.7,0.0,0.6538,,208.8,5.4,6.65,1.2234,8.88,0.5601,3.4,0.0065,0.0588,0.686,-0.0064,0.0494,-1.1372,16,random
83,679936,2944,38,873.3,2163.9,3.8,7.3,2.6,0.7826,0.7143,0.8889,0.0,0.7826,,182.4,5.55,10.3,1.1747,8.31,0.5546,3.24,0.012,0.0848,0.7514,-0.0043,0.0427,-1.0978,16,random
84,688128,2988,44,884.4,2269.0,3.6,7.3,2.4,0.65,0.5385,0.8571,0.0,0.65,,196.6,5.34,5.15,1.2694,9.37,0.5674,3.56,0.007,0.0492,0.7091,-0.0067,0.0411,-1.159,16,random
85,696320,3029,41,895.2,2419.3,3.4,7.3,2.17,0.6471,0.5,0.7273,0.0,0.6471,,194.0,5.2,4.59,1.209,8.32,0.5706,3.35,0.0076,0.0761,0.6833,-0.0078,0.0401,-1.1343,16,random
86,704512,3076,47,906.0,2471.8,3.3,7.4,2.11,0.7037,0.4444,0.8333,0.0,0.7037,,167.8,5.06,6.67,1.2568,9.31,0.5634,3.51,0.0086,0.0768,0.6896,-0.0057,0.0391,-1.1558,17,random
87,712704,3109,33,916.6,2642.0,3.1,7.4,1.93,0.8125,0.8,0.8333,0.0,0.8125,,209.1,5.52,8.0,1.1647,8.16,0.5549,3.2,0.0069,0.0695,0.738,-0.0071,0.0362,-1.0835,17,random
88,720896,3160,51,927.4,2512.1,3.3,7.3,2.07,0.7143,0.5556,0.8333,0.0,0.7143,,182.8,4.67,8.76,1.2264,8.63,0.5692,3.41,0.009,0.0684,0.7298,-0.0077,0.0469,-1.1155,17,random
89,729088,3204,44,938.1,2560.8,3.2,7.3,2.0,0.75,0.8,0.7,0.0,0.75,,164.6,4.5,10.6,1.1663,8.42,0.5473,3.21,0.0077,0.0742,0.6975,-0.0082,0.0542,-1.1139,17,random
90,737280,3257,53,949.0,2371.8,3.5,7.2,2.26,0.9091,0.9167,0.9,0.0,0.9091,,187.5,4.66,5.95,1.196,8.37,0.563,3.31,0.0072,0.0757,0.7654,-0.0065,0.0415,-1.1179,17,random
91,745472,3306,49,959.9,2287.8,3.6,7.3,2.35,0.8519,0.7273,0.9375,0.0,0.8519,,175.5,4.88,12.33,1.2523,9.63,0.553,3.5,0.0084,0.0743,0.7537,-0.0075,0.0478,-1.1324,18,random
92,753664,3339,33,970.5,2617.0,3.1,7.4,2.0,0.8333,0.875,0.8,0.0,0.8333,,173.2,4.64,8.78,1.169,8.92,0.5343,3.22,0.0065,0.0531,0.7697,-0.0073,0.0419,-1.1139,18,random
93,761856,3373,34,981.0,2804.6,2.9,7.2,1.76,0.6667,0.5,0.75,0.0,0.6667,,223.1,5.68,12.5,1.1665,8.73,0.5385,3.21,0.0078,0.0626,0.7642,-0.0082,0.0378,-1.0965,18,random
94,770048,3414,41,991.7,2448.4,3.3,7.3,2.21,0.5,0.4545,0.5556,0.0,0.5,,202.8,5.15,6.6,1.2131,9.63,0.5357,3.36,0.0078,0.0908,0.6953,-0.0056,0.0467,-1.1292,18,random
95,778240,3468,54,1002.6,2328.0,3.5,7.5,2.31,0.7742,0.6364,0.85,0.0,0.7742,,175.7,4.8,6.61,1.268,9.52,0.5628,3.55,0.0071,0.0817,0.5211,-0.0069,0.0576,-1.1564,18,random
96,786432,3513,45,1013.6,2502.8,3.3,7.3,2.13,0.8846,0.7857,1.0,0.0,0.8846,,214.5,5.33,9.42,1.205,8.98,0.5491,3.34,0.0076,0.0822,0.6015,-0.0079,0.0433,-1.1073,19,random
97,794624,3558,45,1024.6,2289.2,3.6,7.7,2.4,0.75,0.7857,0.7143,0.0,0.75,,164.3,4.6,9.36,1.2489,10.02,0.5418,3.49,0.0072,0.0608,0.5936,-0.0076,0.0536,-1.1582,19,random
98,802816,3605,47,1036.0,2345.7,3.5,7.4,2.27,0.7308,0.8333,0.6429,0.0,0.7308,,163.7,4.47,8.42,1.1946,8.58,0.5558,3.3,0.0074,0.0697,0.6475,-0.0071,0.0433,-1.1195,19,random
99,811008,3650,45,1046.8,2471.4,3.3,7.4,2.12,0.7083,0.6875,0.75,0.0,0.7083,,180.9,4.71,3.38,1.1888,8.78,0.5473,3.28,0.0101,0.0944,0.5651,-0.0076,0.0514,-1.1188,19,random
100,819200,3700,50,1058.0,2247.5,3.6,7.4,2.43,0.75,0.7143,0.7857,0.0,0.75,,189.2,4.92,8.43,1.2701,9.78,0.5571,3.56,0.0077,0.0695,0.5704,-0.0071,0.0545,-1.155,19,random
101,827392,3727,27,1068.8,2518.3,3.3,7.5,2.06,1.0,1.0,1.0,0.0,1.0,,179.7,4.63,12.25,1.254,9.4,0.5595,3.5,0.0076,0.0681,0.6873,-0.0072,0.0325,-1.1745,20,random
